No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
1,Topps,tp,tp_1999_S1_#222,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#222,Bernie Williams,New York Yankees,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
2,Topps,tp,tp_1999_S1_#224,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#224,Ken Griffey Jr.,Seattle Mariners,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
3,Topps,tp,tp_1999_S1_#225,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#225,Sammy Sosa,Chicago Cubs,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
4,Topps,tp,tp_1999_S1_#226,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#226,Juan Gonzalez,Texas Rangers,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
5,Topps,tp,tp_1999_S1_#227,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#227,Dante Bichette,Colorado Rockies,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
6,Topps,tp,tp_1999_S1_#228,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#228,Alex Rodriguez,Seattle Mariners,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
7,Topps,tp,tp_1999_S1_#229,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#229,Sammy Sosa,Chicago Cubs,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
8,Topps,tp,tp_1999_S1_#230,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#230,Derek Jeter,New York Yankees,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
9,Topps,tp,tp_1999_S1_#231,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#231,Greg Maddux,Atlanta Braves,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
10,Topps,tp,tp_1999_S1_#232,1999,Topps Series 1,S1,"Hobby, Retail, Jumbo, Factory sets",#232,Roger Clemens,Toronto Blue Jays,,,League Leaders,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
11,Topps,tp,tp_1999_S2_#LD5,1999,Topps Series 2,S2,"Hobby, Retail, Jumbo, Factory sets",#LD5,Mark McGwire,ST. LOUIS CARDINALS,,,Lords of the Diamond,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
12,Topps,tp,tp_1999_S2_#NB4,1999,Topps Series 2,S2,"Hobby, Retail, Jumbo, Factory sets",#NB4,Nomar Garciaparra,Boston Red Sox,,,New Breed,,1,,所持中,2025-11-11,888円 / Set,メルカリで、うどんさんよりセット購入
13,Topps,tp,tp_2000_S2_#268,2000,Topps Series 2,S2,"Hobby/Retail, HTA, Retail set",#268,Orel Hershiser,Los Angeles Dodgers,,Home Team Advantage,,,1,,所持中,2025-11-03,399円,メルカリで、nomo16さんよりシングル購入
14,Topps,tp,tp_2002_S1_#202,2002,Topps Chrome Series 1,S1,"24 packs per box, four cards per pack",#202,Jerry Hairston,Baltimore Orioles,,Black Refractor,,7/50,1,,所持中,2025-11-03,300円,Yahoo!オークションで、ind********さんから落札
15,Topps,tp,tp_2007_UH_#UH195,2007,Topps Updates & Highlights,UH,"Hobby/Retail, HTA, Retail set",#UH195,Marcus McBeth,,RC,,,,1,,所持中,2025-11-03,0,Yahoo!オークションで、落札したおまけ
16,Topps,tp,tp_2009_UH_#TTT73,2009,Topps Updates & Highlights,UH,Two Update cards came in 2009 Topps Heritage Update packs.,#TTT73,Matt Cain,San Francisco Giants,,,Ticket to Toppstown,,1,,所持中,2025-11-03,0,Yahoo!オークションで、落札したおまけ
17,Fleer,fl,fl_2004_SS_#7,2004,Fleer Sweet Sigs,SS,"Hobby, Retail",#7,Nomar Garciaparra,Boston Red Sox,,,Sweet Swing,35/99,1,,所持中,2025-11-03,700円,Yahoo!オークションで、mar********さんから落札
18,SkyBox,sk,sk_2000_SA_#NNO,2000,Skybox Autographics,SA,Hobby,#NNO,"Jerry Hairston, Jr.",Baltimore Orioles,,Autographics,,,1,,所持中,2025-11-03,400円,Yahoo!オークションで、dolbyさんから落札
